Servicio Meteorológico Nacional
Red: SMN
Estación: CHAPALA
Estado: Jalisco
Municipio: Chapala
Latitud (N): 20.29027778
Longitud (O): -103.2016667
Altitud: 1493

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 11:40:00,2023-04-04 17:40:00,193.0,197.0,4.7,6.8,26.4,22,847.5,0,,
2023-04-04 11:30:00,2023-04-04 17:30:00,183.0,170.0,4.7,6.2,26.3,24,847.5,0,,
2023-04-04 11:20:00,2023-04-04 17:20:00,189.0,182.0,4.8,6.4,26,26,847.5,0,,
2023-04-04 11:10:00,2023-04-04 17:10:00,190.0,192.0,5.1,7.4,25.6,28,847.7,0,,
2023-04-04 11:00:00,2023-04-04 17:00:00,195.0,185.0,5.8,8.1,25.6,30,847.7,0,,
2023-04-04 10:50:00,2023-04-04 16:50:00,200.0,202.0,5.9,7.9,25.3,37,847.8,0,,
2023-04-04 10:40:00,2023-04-04 16:40:00,214.0,216.0,5.3,6.5,24.7,39,847.9,0,,
2023-04-04 10:30:00,2023-04-04 16:30:00,229.0,245.0,6.2,7.5,24.4,40,847.9,0,,
2023-04-04 10:20:00,2023-04-04 16:20:00,226.0,228.0,6.4,9.2,24,40,847.9,0,,
2023-04-04 10:10:00,2023-04-04 16:10:00,232.0,230.0,8.2,10.6,23.4,41,847.9,0,,
2023-04-04 10:00:00,2023-04-04 16:00:00,234.0,234.0,10.1,12.9,23.3,42,848,0,,
2023-04-04 09:50:00,2023-04-04 15:50:00,236.0,231.0,10.7,14,22.6,43,847.9,0,,
2023-04-04 09:40:00,2023-04-04 15:40:00,242.0,244.0,11.2,14.1,21.9,45,848,0,,
2023-04-04 09:30:00,2023-04-04 15:30:00,246.0,243.0,10.2,14.8,21.9,41,848,0,,
2023-04-04 09:20:00,2023-04-04 15:20:00,246.0,246.0,10.8,15.9,22.1,37,848,0,,
2023-04-04 09:10:00,2023-04-04 15:10:00,245.0,231.0,8,14.8,22.5,32,847.8,0,,
2023-04-04 09:00:00,2023-04-04 15:00:00,254.0,241.0,6.1,9.7,22,30,847.8,0,,
2023-04-04 08:50:00,2023-04-04 14:50:00,267.0,238.0,4.2,9.8,21.3,30,847.7,0,,
2023-04-04 08:40:00,2023-04-04 14:40:00,313.0,278.0,1.6,4.8,21.1,30,847.7,0,,
2023-04-04 08:30:00,2023-04-04 14:30:00,310.0,303.0,0.9,3.7,21.1,31,847.7,0,,
2023-04-04 08:20:00,2023-04-04 14:20:00,301.0,300.0,0.2,2.7,21.2,32,847.5,0,,
2023-04-04 08:10:00,2023-04-04 14:10:00,261.0,258.0,1.2,3.6,21.6,31,847.4,0,,
2023-04-04 08:00:00,2023-04-04 14:00:00,247.0,232.0,3.6,6.2,21.7,29,847.3,0,,
2023-04-04 07:50:00,2023-04-04 13:50:00,256.0,231.0,3.9,8,21.6,29,847.2,0,,
2023-04-04 07:40:00,2023-04-04 13:40:00,347.0,315.0,0.6,3.8,20.9,29,847.3,0,,
2023-04-04 07:30:00,2023-04-04 13:30:00,352.0,352.0,1.7,3.8,19.9,31,847.2,0,147,
2023-04-04 07:20:00,2023-04-04 13:20:00,357.0,22.0,4.1,7.4,18.8,30,847,0,119,
2023-04-04 07:10:00,2023-04-04 13:10:00,14.0,24.0,4.2,5.4,18.3,31,846.9,0,41,
2023-04-04 07:00:00,2023-04-04 13:00:00,12.0,355.0,3.4,5.7,18.3,31,846.9,0,16,
2023-04-04 06:50:00,2023-04-04 12:50:00,347.0,348.0,4.9,7.2,18.5,31,846.7,0,1,
2023-04-04 06:40:00,2023-04-04 12:40:00,356.0,354.0,5.3,8.6,18.5,31,846.7,0,0,
2023-04-04 06:30:00,2023-04-04 12:30:00,18.0,29.0,4.8,5.9,18.5,31,846.5,0,0,
2023-04-04 06:20:00,2023-04-04 12:20:00,11.0,6.0,3.8,6,18.5,30,846.5,0,0,
2023-04-04 06:10:00,2023-04-04 12:10:00,8.0,9.0,3.7,5,18.4,30,846.4,0,0,
2023-04-04 06:00:00,2023-04-04 12:00:00,355.0,355.0,3.4,5.1,18.5,31,846.5,0,0,
2023-04-04 05:50:00,2023-04-04 11:50:00,2.0,354.0,4.2,6.2,18.5,31,846.4,0,0,
2023-04-04 05:40:00,2023-04-04 11:40:00,0.0,350.0,3.5,6.2,18.6,30,846.3,0,0,
2023-04-04 05:30:00,2023-04-04 11:30:00,356.0,353.0,4.8,7.2,18.7,29,846.3,0,0,
2023-04-04 05:20:00,2023-04-04 11:20:00,8.0,7.0,3.3,5.1,18.7,29,846.3,0,0,
2023-04-04 05:10:00,2023-04-04 11:10:00,8.0,8.0,3.5,5.6,18.8,29,846.2,0,0,
2023-04-04 05:00:00,2023-04-04 11:00:00,13.0,10.0,3.7,5.8,18.8,29,846.2,0,0,
2023-04-04 04:50:00,2023-04-04 10:50:00,8.0,13.0,3.7,5.4,18.8,29,846,0,0,
2023-04-04 04:40:00,2023-04-04 10:40:00,12.0,10.0,4,5.7,18.8,29,846,0,0,
2023-04-04 04:30:00,2023-04-04 10:30:00,14.0,15.0,3.7,4.7,18.8,29,846,0,0,
2023-04-04 04:20:00,2023-04-04 10:20:00,17.0,16.0,3.3,5.5,18.8,30,846,0,0,
2023-04-04 04:10:00,2023-04-04 10:10:00,26.0,31.0,3.5,4.5,18.8,30,846.1,0,0,
2023-04-04 04:00:00,2023-04-04 10:00:00,15.0,31.0,4.2,6.6,18.9,31,846.1,0,0,
2023-04-04 03:50:00,2023-04-04 09:50:00,13.0,6.0,3.8,5.6,19,30,846.1,0,0,
2023-04-04 03:40:00,2023-04-04 09:40:00,30.0,45.0,4.3,5.6,19.1,30,846.1,0,0,
2023-04-04 03:30:00,2023-04-04 09:30:00,328.0,338.0,1.7,4.5,19,30,846.2,0,0,
2023-04-04 03:20:00,2023-04-04 09:20:00,334.0,326.0,2.5,4.9,19,32,846.3,0,0,
2023-04-04 03:10:00,2023-04-04 09:10:00,345.0,345.0,3.7,4.9,19.1,35,846.3,0,0,
2023-04-04 03:00:00,2023-04-04 09:00:00,355.0,334.0,3.2,4.6,19.5,35,846.4,0,0,
2023-04-04 02:50:00,2023-04-04 08:50:00,328.0,291.0,3.1,4.8,19.9,35,846.5,0,,
