Servicio Meteorológico Nacional
Red: SMN
Estación: PRESAEMILIOLOPEZZAMORAENSENADA
Estado: Baja California
Municipio: Ensenada
Latitud (N): 31.89138889
Longitud (O): -116.6033333
Altitud: 32

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 10:10:00,2023-04-04 16:10:00,10.0,22.0,17,27,13,24,1013.2,0,0,
2023-04-04 10:00:00,2023-04-04 16:00:00,319.0,282.0,11.8,19.4,13,25,1013.2,0,0,
2023-04-04 09:50:00,2023-04-04 15:50:00,332.0,28.0,8.5,16.2,13.2,25,1013.1,0,0,
2023-04-04 09:40:00,2023-04-04 15:40:00,333.0,328.0,7.1,13.7,12.9,25,1013.1,0,0,
2023-04-04 09:30:00,2023-04-04 15:30:00,351.0,357.0,7.5,18.7,12.6,26,1013.1,0,0,
2023-04-04 09:20:00,2023-04-04 15:20:00,9.0,323.0,11.2,18,12.3,26,1013.1,0,0,
2023-04-04 09:10:00,2023-04-04 15:10:00,39.0,43.0,8.7,16.2,12.2,27,1013.1,0,0,
2023-04-04 09:00:00,2023-04-04 15:00:00,45.0,47.0,7.7,12.6,12,28,1013,0,0,
2023-04-04 08:50:00,2023-04-04 14:50:00,49.0,22.0,10,15.1,11.7,29,1012.9,0,0,
2023-04-04 08:40:00,2023-04-04 14:40:00,44.0,61.0,10.1,16.9,11.6,28,1012.8,0,0,
2023-04-04 08:30:00,2023-04-04 14:30:00,42.0,16.0,8.5,13.3,11.3,28,1012.8,0,0,
2023-04-04 08:20:00,2023-04-04 14:20:00,22.0,358.0,8.2,17.6,10.6,28,1012.7,0,0,
2023-04-04 08:10:00,2023-04-04 14:10:00,14.0,347.0,3.4,6.1,9.9,29,1012.6,0,0,
2023-04-04 08:00:00,2023-04-04 14:00:00,352.0,342.0,4.1,8.6,9.2,29,1012.5,0,0,
2023-04-04 07:50:00,2023-04-04 13:50:00,314.0,347.0,2.7,7.2,8.9,34,1012.4,0,0,
2023-04-04 07:40:00,2023-04-04 13:40:00,57.0,77.0,2.3,5.4,9.3,35,1012.2,0,0,
2023-04-04 07:30:00,2023-04-04 13:30:00,358.0,354.0,7.2,12.2,9.7,27,1012,0,0,
2023-04-04 07:20:00,2023-04-04 13:20:00,356.0,28.0,8.4,13,10.1,28,1011.9,0,0,
2023-04-04 07:10:00,2023-04-04 13:10:00,37.0,15.0,11.1,17.6,10.3,29,1011.7,0,0,
2023-04-04 07:00:00,2023-04-04 13:00:00,6.0,22.0,9.5,15.5,10.3,27,1011.6,0,0,
2023-04-04 06:50:00,2023-04-04 12:50:00,358.0,341.0,12.5,21.6,10.3,27,1011.5,0,0,
2023-04-04 06:40:00,2023-04-04 12:40:00,356.0,1.0,9.8,13.7,10.2,27,1011.4,0,0,
2023-04-04 06:30:00,2023-04-04 12:30:00,357.0,355.0,10.5,23.4,10,27,1011.4,0,0,
2023-04-04 06:20:00,2023-04-04 12:20:00,2.0,358.0,9.5,14.8,9.4,30,1011.2,0,0,
2023-04-04 06:10:00,2023-04-04 12:10:00,51.0,8.0,4.7,11.9,8.9,38,1011.1,0,0,
2023-04-04 06:00:00,2023-04-04 12:00:00,358.0,344.0,5,9.4,8.3,36,1011,0,0,
2023-04-04 05:50:00,2023-04-04 11:50:00,303.0,29.0,5.1,12.2,7.6,50,1010.9,0,0,
2023-04-04 05:40:00,2023-04-04 11:40:00,15.0,339.0,4.8,9,7.6,79,1010.8,0,0,
2023-04-04 05:30:00,2023-04-04 11:30:00,45.0,37.0,3.9,6.5,7.7,87,1010.7,0,0,
2023-04-04 05:20:00,2023-04-04 11:20:00,47.0,40.0,4.4,7.9,7.7,88,1010.7,0,0,
2023-04-04 05:10:00,2023-04-04 11:10:00,30.0,37.0,3.1,7.6,7.4,88,1010.7,0,0,
2023-04-04 05:00:00,2023-04-04 11:00:00,351.0,55.0,1.8,3.2,7.2,86,1010.7,0,0,
2023-04-04 04:50:00,2023-04-04 10:50:00,221.0,165.0,2.5,4.7,7.6,86,1010.6,0,0,
2023-04-04 04:40:00,2023-04-04 10:40:00,45.0,11.0,1.9,4,7.6,86,1010.6,0,0,
2023-04-04 04:30:00,2023-04-04 10:30:00,15.0,56.0,3.1,5,7.7,86,1010.6,0,0,
2023-04-04 04:20:00,2023-04-04 10:20:00,38.0,26.0,4.8,8.6,7.9,86,1010.6,0,0,
2023-04-04 04:10:00,2023-04-04 10:10:00,32.0,26.0,2.9,8.6,7.7,85,1010.6,0,0,
2023-04-04 04:00:00,2023-04-04 10:00:00,339.0,294.0,1.4,3.6,7.9,84,1010.6,0,0,
