Servicio Meteorológico Nacional
Red: SMN
Estación: JOCOTEPEC
Estado: Jalisco
Municipio: Jocotepec
Latitud (N): 20.28305556
Longitud (O): -103.4163889
Altitud: 1506

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-03 11:50:00,2023-04-03 17:50:00,75.0,339.0,0,0,29,36,850.3,0,1005,
2023-04-03 11:40:00,2023-04-03 17:40:00,100.0,339.0,0,0,30.1,25,850.5,0,986,
2023-04-03 11:30:00,2023-04-03 17:30:00,85.0,339.0,0,0,30.5,26,850.6,0,967,
2023-04-03 11:20:00,2023-04-03 17:20:00,168.0,339.0,0,0,30.7,19,850.7,0,948,
2023-04-03 11:10:00,2023-04-03 17:10:00,232.0,339.0,0,0,30.5,17,850.8,0,928,
2023-04-03 11:00:00,2023-04-03 17:00:00,244.0,339.0,0,0,30.2,18,850.9,0,911,
2023-04-03 10:50:00,2023-04-03 16:50:00,292.0,339.0,1.6,2.2,29.5,20,850.9,0,885,
2023-04-03 10:40:00,2023-04-03 16:40:00,121.0,243.0,0,0,28.8,22,851,0,853,
2023-04-03 10:30:00,2023-04-03 16:30:00,155.0,243.0,0,0,28,25,851.1,0,824,
2023-04-03 10:20:00,2023-04-03 16:20:00,139.0,243.0,0,0,27.2,27,851.1,0,791,
2023-04-03 10:10:00,2023-04-03 16:10:00,128.0,243.0,0,0,26.5,32,851.1,0,756,
2023-04-03 10:00:00,2023-04-03 16:00:00,114.0,243.0,0,0,26,34,851.2,0,717,
2023-04-03 09:50:00,2023-04-03 15:50:00,107.0,243.0,0,0,25.6,33,851.2,0,677,
2023-04-03 09:40:00,2023-04-03 15:40:00,106.0,243.0,0,0,25.5,30,851.2,0,637,
2023-04-03 09:30:00,2023-04-03 15:30:00,101.0,243.0,0,0,25.4,31,851.2,0,601,
2023-04-03 09:20:00,2023-04-03 15:20:00,107.0,243.0,0,0,25.2,33,851.2,0,565,
2023-04-03 09:10:00,2023-04-03 15:10:00,127.0,243.0,0,0,25,33,851.2,0,525,
2023-04-03 09:00:00,2023-04-03 15:00:00,142.0,243.0,0,0,24.9,33,851.2,0,482,
2023-04-03 08:50:00,2023-04-03 14:50:00,115.0,243.0,0,0,24.5,31,851.2,0,442,
2023-04-03 08:40:00,2023-04-03 14:40:00,64.0,243.0,0,0,23.8,32,851.2,0,400,
2023-04-03 08:30:00,2023-04-03 14:30:00,355.0,243.0,0,0,22.1,39,851.2,0,355,
2023-04-03 08:20:00,2023-04-03 14:20:00,292.0,243.0,0,0,19.9,41,851.1,0,310,
2023-04-03 08:10:00,2023-04-03 14:10:00,252.0,243.0,0,0,17.9,42,851,0,262,
2023-04-03 08:00:00,2023-04-03 14:00:00,222.0,243.0,0,0,16.8,41,850.9,0,209,
2023-04-03 07:50:00,2023-04-03 13:50:00,253.0,243.0,0,0,16.2,41,850.8,0,153,
2023-04-03 07:40:00,2023-04-03 13:40:00,285.0,243.0,0,0,15.5,40,850.7,0,108,
2023-04-03 07:30:00,2023-04-03 13:30:00,255.0,243.0,0,0,15.1,38,850.6,0,44,
2023-04-03 07:20:00,2023-04-03 13:20:00,234.0,243.0,0,0,15.1,36,850.4,0,32,
2023-04-03 07:10:00,2023-04-03 13:10:00,281.0,243.0,0,0,15.5,35,850.3,0,21,
