Servicio Meteorológico Nacional
Red: SMN-ESMA
Estación: MORELIA
Estado: Michoacán de Ocampo
Municipio: Morelia
Latitud (N): 19.72138
Longitud (O): -101.18277
Altitud: 1918

Fecha Local,Fecha UTC,Temperatura del Aire (°C),Precipitación (mm),Humedad relativa (%),Presión Atmosférica (hpa),Radiación Solar (W/m²),Dirección del Viento (grados),Rapidez de viento (km/h),Dirección de ráfaga (grados),Rapidez de ráfaga (km/h),
2023-03-30 11:40:00,2023-03-30 17:40:00,26.7,,32,,747,,,,,
2023-03-30 11:30:00,2023-03-30 17:30:00,26.1,,34,,760,,,,,
2023-03-30 11:20:00,2023-03-30 17:20:00,27,,31,,796,,,,,
2023-03-30 11:10:00,2023-03-30 17:10:00,26.5,,32,,712,,,,,
2023-03-30 11:00:00,2023-03-30 17:00:00,26,,33,,743,,,,,
2023-03-30 10:50:00,2023-03-30 16:50:00,24.6,0,36,812,898,,,354.0,14.4,
2023-03-30 10:40:00,2023-03-30 16:40:00,24.1,,36,,792,,,,,
2023-03-30 10:30:00,2023-03-30 16:30:00,24.1,,37,,747,,,,,
2023-03-30 10:20:00,2023-03-30 16:20:00,23.8,,41,,583,,,,,
2023-03-30 10:10:00,2023-03-30 16:10:00,24.6,,38,,715,,,,,
2023-03-30 10:00:00,2023-03-30 16:00:00,24.1,,40,,709,,,,,
2023-03-30 09:50:00,2023-03-30 15:50:00,23.8,0,39,812.2,696,,,168.0,12.6,
2023-03-30 09:40:00,2023-03-30 15:40:00,23.1,,44,,684,,,,,
2023-03-30 09:30:00,2023-03-30 15:30:00,22.9,,45,,644,,,,,
2023-03-30 09:20:00,2023-03-30 15:20:00,22.9,,46,,601,,,,,
2023-03-30 09:10:00,2023-03-30 15:10:00,22.2,,48,,549,,,,,
2023-03-30 09:00:00,2023-03-30 15:00:00,21.2,,53,,464,,,,,
2023-03-30 08:50:00,2023-03-30 14:50:00,20.2,0,59,812.2,471,,,167.0,13.32,
2023-03-30 08:40:00,2023-03-30 14:40:00,19.4,,61,,436,,,,,
2023-03-30 08:30:00,2023-03-30 14:30:00,18.6,,66,,401,,,,,
2023-03-30 08:20:00,2023-03-30 14:20:00,18.1,,68,,300,,,,,
2023-03-30 08:10:00,2023-03-30 14:10:00,17.3,,71,,300,,,,,
2023-03-30 08:00:00,2023-03-30 14:00:00,16.9,,72,,223,,,,,
2023-03-30 07:50:00,2023-03-30 13:50:00,16.5,0,73,811.6,222,,,233.0,11.88,
2023-03-30 07:40:00,2023-03-30 13:40:00,16.2,,74,,137,,,,,
2023-03-30 07:30:00,2023-03-30 13:30:00,15.6,,78,,138,,,,,
2023-03-30 07:20:00,2023-03-30 13:20:00,15,,80,,107,,,,,
2023-03-30 07:10:00,2023-03-30 13:10:00,14.7,,81,,68,,,,,
2023-03-30 07:00:00,2023-03-30 13:00:00,14.7,,81,,36,,,,,
2023-03-30 06:50:00,2023-03-30 12:50:00,14.7,0,80,811,12,,,230.0,12.6,
2023-03-30 06:40:00,2023-03-30 12:40:00,14.7,,80,,0,,,,,
2023-03-30 06:30:00,2023-03-30 12:30:00,14.8,,79,,0,,,,,
2023-03-30 06:20:00,2023-03-30 12:20:00,14.8,,79,,0,,,,,
2023-03-30 06:10:00,2023-03-30 12:10:00,14.9,,78,,0,,,,,
2023-03-30 06:00:00,2023-03-30 12:00:00,15,,78,,0,,,,,
2023-03-30 05:50:00,2023-03-30 11:50:00,15.3,0,76,810.4,0,,,254.0,9.36,
2023-03-30 05:40:00,2023-03-30 11:40:00,15.3,,76,,0,,,,,
2023-03-30 05:30:00,2023-03-30 11:30:00,15.5,,75,,0,,,,,
2023-03-30 05:20:00,2023-03-30 11:20:00,15.7,,75,,0,,,,,
2023-03-30 05:10:00,2023-03-30 11:10:00,15.9,,74,,0,,,,,
2023-03-30 05:00:00,2023-03-30 11:00:00,16,,75,,0,,,,,
2023-03-30 04:50:00,2023-03-30 10:50:00,16.2,0,74,810.2,0,,,177.0,15.84,
2023-03-30 04:40:00,2023-03-30 10:40:00,16.3,,74,,0,,,,,
2023-03-30 04:30:00,2023-03-30 10:30:00,16.4,,72,,0,,,,,
2023-03-30 04:20:00,2023-03-30 10:20:00,16.5,,70,,0,,,,,
2023-03-30 04:10:00,2023-03-30 10:10:00,16.3,,72,,0,,,,,
2023-03-30 04:00:00,2023-03-30 10:00:00,16.1,,76,,0,,,,,
2023-03-30 03:50:00,2023-03-30 09:50:00,16,0,78,810.2,0,,,153.0,17.64,
2023-03-30 03:40:00,2023-03-30 09:40:00,16,,80,,0,,,,,
2023-03-30 03:30:00,2023-03-30 09:30:00,16,,79,,0,,,,,
2023-03-30 03:20:00,2023-03-30 09:20:00,16,,81,,0,,,,,
2023-03-30 03:10:00,2023-03-30 09:10:00,16,,81,,0,,,,,
2023-03-30 03:00:00,2023-03-30 09:00:00,16,,82,,0,,,,,
2023-03-30 02:50:00,2023-03-30 08:50:00,16.1,0.25,82,810.5,0,,,241.0,21.24,
2023-03-30 02:40:00,2023-03-30 08:40:00,16.3,,81,,0,,,,,
2023-03-30 02:30:00,2023-03-30 08:30:00,16.6,,81,,0,,,,,
2023-03-30 02:20:00,2023-03-30 08:20:00,17,,79,,0,,,,,
2023-03-30 02:10:00,2023-03-30 08:10:00,17.7,,68,,0,,,,,
2023-03-30 02:00:00,2023-03-30 08:00:00,18.3,,60,,0,,,,,
2023-03-30 01:50:00,2023-03-30 07:50:00,18.4,0,57,811.8,0,,,164.0,17.64,
2023-03-30 01:40:00,2023-03-30 07:40:00,18.7,,58,,0,,,,,
2023-03-30 01:30:00,2023-03-30 07:30:00,19.4,,56,,0,,,,,
2023-03-30 01:20:00,2023-03-30 07:20:00,19.9,,49,,0,,,,,
2023-03-30 01:10:00,2023-03-30 07:10:00,20.3,,46,,0,,,,,
2023-03-30 01:00:00,2023-03-30 07:00:00,20.3,,44,,0,,,,,
2023-03-30 00:50:00,2023-03-30 06:50:00,20.4,0,43,811.5,0,,,175.0,11.16,
2023-03-30 00:40:00,2023-03-30 06:40:00,20.5,,42,,0,,,,,
2023-03-30 00:30:00,2023-03-30 06:30:00,20.5,,41,,0,,,,,
2023-03-30 00:20:00,2023-03-30 06:20:00,20.3,,40,,0,,,,,
2023-03-30 00:10:00,2023-03-30 06:10:00,20.3,,40,,0,,,,,
2023-03-30 00:00:00,2023-03-30 06:00:00,20.4,,40,,0,,,,,
2023-03-29 23:50:00,2023-03-30 05:50:00,20.4,0,40,811.6,0,,,93.0,8.64,
2023-03-29 23:40:00,2023-03-30 05:40:00,20.5,,40,,0,,,,,
2023-03-29 23:30:00,2023-03-30 05:30:00,20.3,,40,,0,,,,,
2023-03-29 23:20:00,2023-03-30 05:20:00,20.1,,40,,0,,,,,
2023-03-29 23:10:00,2023-03-30 05:10:00,19.9,,41,,0,,,,,
2023-03-29 23:00:00,2023-03-30 05:00:00,19.8,,42,,0,,,,,
2023-03-29 22:50:00,2023-03-30 04:50:00,20,0,42,811.1,0,,,173.0,10.8,
2023-03-29 22:40:00,2023-03-30 04:40:00,20.2,,41,,0,,,,,
2023-03-29 22:30:00,2023-03-30 04:30:00,20.5,,39,,0,,,,,
2023-03-29 22:20:00,2023-03-30 04:20:00,20.4,,40,,0,,,,,
2023-03-29 22:10:00,2023-03-30 04:10:00,20.7,,40,,0,,,,,
2023-03-29 22:00:00,2023-03-30 04:00:00,20.6,,40,,0,,,,,
2023-03-29 21:50:00,2023-03-30 03:50:00,21,0,39,810.8,0,,,173.0,18.72,
2023-03-29 21:40:00,2023-03-30 03:40:00,21.4,,38,,0,,,,,
2023-03-29 21:30:00,2023-03-30 03:30:00,21.9,,37,,0,,,,,
2023-03-29 21:20:00,2023-03-30 03:20:00,22.2,,35,,0,,,,,
2023-03-29 21:10:00,2023-03-30 03:10:00,22.2,,35,,0,,,,,
2023-03-29 21:00:00,2023-03-30 03:00:00,22.2,,36,,0,,,,,
2023-03-29 20:50:00,2023-03-30 02:50:00,22.3,0,36,809.6,0,,,169.0,21.24,
2023-03-29 20:40:00,2023-03-30 02:40:00,22.6,,35,,0,,,,,
2023-03-29 20:30:00,2023-03-30 02:30:00,22.9,,34,,0,,,,,
2023-03-29 20:20:00,2023-03-30 02:20:00,23.1,,34,,0,,,,,
2023-03-29 20:10:00,2023-03-30 02:10:00,23.3,,34,,0,,,,,
2023-03-29 20:00:00,2023-03-30 02:00:00,23.6,,34,,0,,,,,
2023-03-29 19:50:00,2023-03-30 01:50:00,23.8,0,33,808.8,0,,,172.0,25.2,
2023-03-29 19:40:00,2023-03-30 01:40:00,24.1,,32,,0,,,,,
2023-03-29 19:30:00,2023-03-30 01:30:00,24.3,,31,,0,,,,,
2023-03-29 19:20:00,2023-03-30 01:20:00,24.5,,30,,0,,,,,
2023-03-29 19:10:00,2023-03-30 01:10:00,24.8,,29,,0,,,,,
2023-03-29 19:00:00,2023-03-30 01:00:00,25.1,,29,,0,,,,,
2023-03-29 18:50:00,2023-03-30 00:50:00,25.5,0,28,807.9,3,,,,,
2023-03-29 18:40:00,2023-03-30 00:40:00,25.8,,27,,12,,,,,
2023-03-29 18:30:00,2023-03-30 00:30:00,26.3,,26,,17,,,,,
2023-03-29 18:20:00,2023-03-30 00:20:00,26.8,,25,,28,,,,,
2023-03-29 18:10:00,2023-03-30 00:10:00,27.3,,25,,48,,,,,
2023-03-29 18:00:00,2023-03-30 00:00:00,27.9,,24,,124,,,,,
2023-03-29 17:50:00,2023-03-29 23:50:00,28.5,0,23,807.1,187,,,,,
2023-03-29 17:40:00,2023-03-29 23:40:00,29.1,,23,,261,,,,,
2023-03-29 17:30:00,2023-03-29 23:30:00,29.9,,22,,313,,,,,
2023-03-29 17:20:00,2023-03-29 23:20:00,30.4,,21,,341,,,,,
2023-03-29 17:10:00,2023-03-29 23:10:00,30.5,,22,,269,,,,,
2023-03-29 17:00:00,2023-03-29 23:00:00,31.2,,21,,244,,,,,
2023-03-29 16:50:00,2023-03-29 22:50:00,31.8,0,20,807.1,293,,,,,
2023-03-29 16:40:00,2023-03-29 22:40:00,32.1,,20,,507,,,,,
2023-03-29 16:30:00,2023-03-29 22:30:00,32.1,,19,,531,,,,,
