Servicio Meteorológico Nacional
Red: SMN
Estación: SANQUINTIN
Estado: Baja California
Municipio: Ensenada
Latitud (N): 30.53166667
Longitud (O): -115.8375
Altitud: 32

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 10:20:00,2023-04-04 16:20:00,333.0,1.0,19.8,32.8,14.1,23,1015.8,0,596,
2023-04-04 10:10:00,2023-04-04 16:10:00,330.0,350.0,17.2,29.2,13.6,27,1015.8,0,560,
2023-04-04 10:00:00,2023-04-04 16:00:00,334.0,340.0,17.1,25.9,12.9,32,1015.8,0,519,
2023-04-04 09:50:00,2023-04-04 15:50:00,339.0,331.0,16.5,23,12.4,37,1015.8,0,478,
2023-04-04 09:40:00,2023-04-04 15:40:00,333.0,346.0,11.9,20.9,11.9,44,1015.8,0,434,
2023-04-04 09:30:00,2023-04-04 15:30:00,322.0,310.0,10.7,18,11.2,50,1015.9,0,392,
2023-04-04 09:20:00,2023-04-04 15:20:00,323.0,328.0,10.7,15.8,10.4,54,1015.9,0,348,
2023-04-04 09:10:00,2023-04-04 15:10:00,326.0,345.0,7.9,15.1,9.7,58,1015.8,0,304,
2023-04-04 09:00:00,2023-04-04 15:00:00,325.0,318.0,7.3,12.2,9,62,1015.7,0,262,
2023-04-04 08:50:00,2023-04-04 14:50:00,335.0,343.0,8.4,14,8.5,64,1015.6,0,218,
2023-04-04 08:40:00,2023-04-04 14:40:00,344.0,347.0,9,11.9,8.2,65,1015.5,0,177,
2023-04-04 08:30:00,2023-04-04 14:30:00,344.0,350.0,6.7,10.1,7.7,68,1015.4,0,136,
2023-04-04 08:20:00,2023-04-04 14:20:00,357.0,350.0,5.1,8.6,7.1,72,1015.3,0,97,
2023-04-04 08:10:00,2023-04-04 14:10:00,355.0,347.0,6.2,9.7,6.5,76,1015.1,0,61,
2023-04-04 08:00:00,2023-04-04 14:00:00,354.0,349.0,6.4,11.5,6,80,1015,0,29,
2023-04-04 07:50:00,2023-04-04 13:50:00,360.0,349.0,4.9,8.3,5.5,82,1015,0,4,
2023-04-04 07:40:00,2023-04-04 13:40:00,4.0,4.0,5.9,8.6,5.2,84,1014.9,0,0,
2023-04-04 07:30:00,2023-04-04 13:30:00,334.0,322.0,4.6,5.8,5,84,1014.7,0,0,
2023-04-04 07:20:00,2023-04-04 13:20:00,319.0,331.0,3.3,5,5.1,83,1014.6,0,0,
2023-04-04 07:10:00,2023-04-04 13:10:00,329.0,345.0,4.3,6.5,5.4,83,1014.6,0,0,
2023-04-04 07:00:00,2023-04-04 13:00:00,338.0,350.0,4.3,6.5,5.3,84,1014.5,0,0,
2023-04-04 06:50:00,2023-04-04 12:50:00,335.0,357.0,3.6,5.8,5.4,83,1014.3,0,0,
2023-04-04 06:40:00,2023-04-04 12:40:00,334.0,342.0,4.4,6.8,5.5,83,1014.2,0,0,
2023-04-04 06:30:00,2023-04-04 12:30:00,347.0,352.0,4.6,7.9,5.5,84,1014,0,0,
2023-04-04 06:20:00,2023-04-04 12:20:00,359.0,341.0,4,6.1,5.5,84,1014,0,0,
2023-04-04 06:10:00,2023-04-04 12:10:00,333.0,323.0,3.5,5,5.5,84,1013.9,0,0,
2023-04-04 06:00:00,2023-04-04 12:00:00,336.0,351.0,4.3,6.8,5.5,84,1013.8,0,0,
2023-04-04 05:50:00,2023-04-04 11:50:00,336.0,351.0,3.4,6.8,5.5,83,1013.7,0,0,
2023-04-04 05:40:00,2023-04-04 11:40:00,321.0,320.0,2.9,4,5.7,82,1013.6,0,0,
2023-04-04 05:30:00,2023-04-04 11:30:00,325.0,335.0,3.7,5,5.9,82,1013.6,0,0,
2023-04-04 05:20:00,2023-04-04 11:20:00,328.0,329.0,3.7,5,6.1,81,1013.5,0,0,
2023-04-04 05:10:00,2023-04-04 11:10:00,328.0,335.0,3.7,6.1,6.2,81,1013.5,0,0,
