Servicio Meteorológico Nacional
Red: SMN
Estación: LAPRIMAVERA
Estado: Jalisco
Municipio: Tala
Latitud (N): 20.67627778
Longitud (O): -103.6440833
Altitud: 1468.152

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 11:10:00,2023-04-04 17:10:00,,,,,24.3,16,,0,,
2023-04-04 11:00:00,2023-04-04 17:00:00,,,,,24.7,15,,0,,
2023-04-04 10:50:00,2023-04-04 16:50:00,,,,,25.7,14,,0,,
2023-04-04 10:40:00,2023-04-04 16:40:00,,,,,26.4,14,,0,,
2023-04-04 10:30:00,2023-04-04 16:30:00,,,,,25.7,14,,0,190,
2023-04-04 10:20:00,2023-04-04 16:20:00,,,,,24.5,17,,0,171,
2023-04-04 10:10:00,2023-04-04 16:10:00,,,,,24.2,18,,0,156,
2023-04-04 10:00:00,2023-04-04 16:00:00,,,,,24.1,20,,0,93,
2023-04-04 09:50:00,2023-04-04 15:50:00,,,,,23.6,21,,0,105,
2023-04-04 09:40:00,2023-04-04 15:40:00,,,,,23.1,23,,0,123,
2023-04-04 09:30:00,2023-04-04 15:30:00,,,,,22.9,22,,0,151,
2023-04-04 09:20:00,2023-04-04 15:20:00,,,,,22.3,24,,0,151,
2023-04-04 09:10:00,2023-04-04 15:10:00,,,,,22.1,23,,0,165,
2023-04-04 09:00:00,2023-04-04 15:00:00,,,,,21.2,23,,0,307,
2023-04-04 08:50:00,2023-04-04 14:50:00,,,,,20.2,25,,0,91,
2023-04-04 08:40:00,2023-04-04 14:40:00,,,,,18.3,27,,0,118,
2023-04-04 08:30:00,2023-04-04 14:30:00,,,,,16.2,33,,0,81,
2023-04-04 08:20:00,2023-04-04 14:20:00,,,,,15.1,37,,0,75,
2023-04-04 08:10:00,2023-04-04 14:10:00,,,,,14.9,41,,0,46,
2023-04-04 08:00:00,2023-04-04 14:00:00,,,,,14.6,37,,0,39,
2023-04-04 07:50:00,2023-04-04 13:50:00,,,,,14.3,36,,0,38,
2023-04-04 07:40:00,2023-04-04 13:40:00,,,,,14.2,38,,0,45,
2023-04-04 07:30:00,2023-04-04 13:30:00,,,,,14,35,,0,33,
2023-04-04 07:20:00,2023-04-04 13:20:00,,,,,14.2,35,,0,16,
2023-04-04 07:10:00,2023-04-04 13:10:00,,,,,14.5,33,,0,7,
2023-04-04 07:00:00,2023-04-04 13:00:00,,,,,14.6,33,,0,2,
2023-04-04 06:50:00,2023-04-04 12:50:00,,,,,14.7,32,,0,0,
2023-04-04 06:40:00,2023-04-04 12:40:00,,,,,14.7,33,,0,0,
2023-04-04 06:30:00,2023-04-04 12:30:00,,,,,14.7,33,,0,0,
2023-04-04 06:20:00,2023-04-04 12:20:00,,,,,14.8,32,,0,0,
2023-04-04 06:10:00,2023-04-04 12:10:00,,,,,14.7,32,,0,0,
2023-04-04 06:00:00,2023-04-04 12:00:00,,,,,14.6,32,,0,0,
2023-04-04 05:50:00,2023-04-04 11:50:00,,,,,14.5,32,,0,0,
2023-04-04 05:40:00,2023-04-04 11:40:00,,,,,14.3,33,,0,0,
2023-04-04 05:30:00,2023-04-04 11:30:00,,,,,14.1,33,,0,0,
2023-04-04 05:20:00,2023-04-04 11:20:00,,,,,14.4,33,,0,0,
2023-04-04 05:10:00,2023-04-04 11:10:00,,,,,15,32,,0,0,
2023-04-04 05:00:00,2023-04-04 11:00:00,,,,,15.4,30,,0,0,
2023-04-04 04:50:00,2023-04-04 10:50:00,,,,,15.4,30,,0,0,
2023-04-04 04:40:00,2023-04-04 10:40:00,,,,,15.2,30,,0,0,
2023-04-04 04:30:00,2023-04-04 10:30:00,,,,,14.9,31,,0,0,
2023-04-04 04:20:00,2023-04-04 10:20:00,,,,,14.7,32,,0,0,
2023-04-04 04:10:00,2023-04-04 10:10:00,,,,,14.5,33,,0,0,
2023-04-04 04:00:00,2023-04-04 10:00:00,,,,,14.2,35,,0,0,
2023-04-04 03:50:00,2023-04-04 09:50:00,,,,,14,37,,0,0,
2023-04-04 03:40:00,2023-04-04 09:40:00,,,,,13.9,37,,0,0,
2023-04-04 03:30:00,2023-04-04 09:30:00,,,,,13.8,38,,0,0,
2023-04-04 03:20:00,2023-04-04 09:20:00,,,,,14.2,38,,0,0,
2023-04-04 03:10:00,2023-04-04 09:10:00,,,,,15.1,36,,0,0,
2023-04-04 03:00:00,2023-04-04 09:00:00,,,,,15.5,34,,0,0,
2023-04-04 02:50:00,2023-04-04 08:50:00,,,,,15.6,33,,0,0,
2023-04-04 02:40:00,2023-04-04 08:40:00,,,,,15.7,33,,0,0,
2023-04-04 02:30:00,2023-04-04 08:30:00,,,,,15.6,34,,0,0,
2023-04-04 02:20:00,2023-04-04 08:20:00,,,,,15.6,34,,0,0,
2023-04-04 02:10:00,2023-04-04 08:10:00,,,,,15.6,34,,0,0,
2023-04-04 02:00:00,2023-04-04 08:00:00,,,,,15.6,34,,0,0,
