Servicio Meteorológico Nacional
Red: SMN
Estación: TIZAPAN
Estado: Jalisco
Municipio: Tizapán el Alto
Latitud (N): 20.16944444
Longitud (O): -103.0438889
Altitud: 1503

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 11:30:00,2023-04-04 17:30:00,1.0,11.0,1.5,14.1,25.5,20,848.1,0,941,
2023-04-04 11:20:00,2023-04-04 17:20:00,354.0,347.0,6.5,18.9,25.5,22,848.1,0,1007,
2023-04-04 11:10:00,2023-04-04 17:10:00,345.0,341.0,5.5,16.2,25.7,23,848.2,0,985,
2023-04-04 11:00:00,2023-04-04 17:00:00,2.0,7.0,0.8,11.8,25,26,848.3,0,958,
2023-04-04 10:50:00,2023-04-04 16:50:00,2.0,23.0,4.3,17.2,24.4,31,848.4,0,918,
2023-04-04 10:40:00,2023-04-04 16:40:00,360.0,3.0,0.6,8.7,24.5,33,848.5,0,892,
2023-04-04 10:30:00,2023-04-04 16:30:00,338.0,10.0,0,0,24.3,34,848.5,0,839,
2023-04-04 10:20:00,2023-04-04 16:20:00,335.0,343.0,0.9,14.3,24,35,848.5,0,827,
2023-04-04 10:10:00,2023-04-04 16:10:00,344.0,343.0,0.2,4.8,23.5,38,848.6,0,809,
2023-04-04 10:00:00,2023-04-04 16:00:00,349.0,341.0,0.2,7.2,23,39,848.6,0,743,
2023-04-04 09:50:00,2023-04-04 15:50:00,325.0,295.0,0,0,22.7,39,848.7,0,605,
2023-04-04 09:40:00,2023-04-04 15:40:00,298.0,283.0,0,0,22.1,39,848.7,0,483,
2023-04-04 09:30:00,2023-04-04 15:30:00,295.0,312.0,0,0,21.6,40,848.7,0,482,
2023-04-04 09:20:00,2023-04-04 15:20:00,286.0,277.0,0,0,21.8,39,848.7,0,252,
2023-04-04 09:10:00,2023-04-04 15:10:00,289.0,271.0,0,0,21.9,38,848.4,0,320,
2023-04-04 09:00:00,2023-04-04 15:00:00,280.0,270.0,0,0,21.5,40,848.3,0,477,
2023-04-04 08:50:00,2023-04-04 14:50:00,243.0,234.0,0,0,21.1,43,848.4,0,315,
2023-04-04 08:40:00,2023-04-04 14:40:00,236.0,218.0,0,0,21.1,43,848.4,0,179,
2023-04-04 08:30:00,2023-04-04 14:30:00,200.0,210.0,0,0,21.1,44,848.2,0,207,
2023-04-04 08:20:00,2023-04-04 14:20:00,202.0,243.0,0,0,20.7,45,848.1,0,270,
2023-04-04 08:10:00,2023-04-04 14:10:00,196.0,185.0,0,0,20,47,848,0,351,
2023-04-04 08:00:00,2023-04-04 14:00:00,193.0,192.0,0.1,7.3,19.3,48,848.1,0,283,
2023-04-04 07:50:00,2023-04-04 13:50:00,190.0,192.0,2.5,15.2,18.6,50,847.9,0,303,
2023-04-04 07:40:00,2023-04-04 13:40:00,186.0,194.0,11.3,17.6,18.3,50,847.9,0,195,
2023-04-04 07:30:00,2023-04-04 13:30:00,188.0,177.0,2.3,16.7,18.3,51,847.8,0,161,
2023-04-04 07:20:00,2023-04-04 13:20:00,191.0,181.0,5.4,14.3,18.1,51,847.7,0,117,
2023-04-04 07:10:00,2023-04-04 13:10:00,188.0,184.0,4.8,13.9,17.9,52,847.6,0,57,
2023-04-04 07:00:00,2023-04-04 13:00:00,187.0,197.0,2.8,14.5,17.7,52,847.5,0,24,
2023-04-04 06:50:00,2023-04-04 12:50:00,196.0,198.0,0.2,11.9,17.7,52,847.4,0,3,
2023-04-04 06:40:00,2023-04-04 12:40:00,193.0,186.0,0.8,10,17.8,51,847.3,0,0,
2023-04-04 06:30:00,2023-04-04 12:30:00,189.0,187.0,2.8,16.8,17.9,51,847.3,0,0,
2023-04-04 06:20:00,2023-04-04 12:20:00,191.0,193.0,2.4,16.7,17.9,51,847.3,0,0,
2023-04-04 06:10:00,2023-04-04 12:10:00,185.0,184.0,0.2,11.4,17.9,50,847.2,0,0,
2023-04-04 06:00:00,2023-04-04 12:00:00,191.0,203.0,0,0,18,49,847.2,0,0,
2023-04-04 05:50:00,2023-04-04 11:50:00,188.0,191.0,0,0,18,47,847.2,0,0,
2023-04-04 05:40:00,2023-04-04 11:40:00,194.0,211.0,0,0,18,46,847.1,0,0,
2023-04-04 05:30:00,2023-04-04 11:30:00,197.0,210.0,0,0,17.9,45,847,0,0,
2023-04-04 05:20:00,2023-04-04 11:20:00,203.0,197.0,0,0,17.7,44,847,0,0,
2023-04-04 05:10:00,2023-04-04 11:10:00,200.0,187.0,0,0,17.7,44,846.9,0,0,
2023-04-04 05:00:00,2023-04-04 11:00:00,196.0,200.0,0,0,17.6,45,846.9,0,0,
2023-04-04 04:50:00,2023-04-04 10:50:00,190.0,187.0,0,0,17.6,45,846.9,0,0,
2023-04-04 04:40:00,2023-04-04 10:40:00,182.0,180.0,0,0,17.6,46,846.9,0,0,
2023-04-04 04:30:00,2023-04-04 10:30:00,178.0,196.0,0,0,17.7,46,846.9,0,0,
2023-04-04 04:20:00,2023-04-04 10:20:00,190.0,200.0,0,0,17.9,46,846.8,0,0,
2023-04-04 04:10:00,2023-04-04 10:10:00,197.0,186.0,0,0,18,46,846.8,0,0,
2023-04-04 04:00:00,2023-04-04 10:00:00,193.0,202.0,0,0,18,46,846.8,0,0,
2023-04-04 03:50:00,2023-04-04 09:50:00,208.0,214.0,0,0,18.1,46,846.9,0,0,
2023-04-04 03:40:00,2023-04-04 09:40:00,204.0,190.0,0,0,18.3,46,846.9,0,0,
2023-04-04 03:30:00,2023-04-04 09:30:00,188.0,181.0,0,0,18.5,45,847,0,0,
2023-04-04 03:20:00,2023-04-04 09:20:00,185.0,176.0,0,0,18.8,44,847.1,0,0,
2023-04-04 03:10:00,2023-04-04 09:10:00,184.0,196.0,0.1,3.8,18.9,43,847.1,0,0,
2023-04-04 03:00:00,2023-04-04 09:00:00,200.0,191.0,0,0,19,43,847.2,0,0,
2023-04-04 02:50:00,2023-04-04 08:50:00,195.0,211.0,0,0,18.9,43,847.2,0,0,
2023-04-04 02:40:00,2023-04-04 08:40:00,198.0,294.0,0,0,18.8,44,847.3,0,0,
2023-04-04 02:30:00,2023-04-04 08:30:00,269.0,194.0,0,0,19.1,43,847.3,0,0,
2023-04-04 02:20:00,2023-04-04 08:20:00,211.0,190.0,0.8,15.6,19.3,44,847.3,0,0,
2023-04-04 02:10:00,2023-04-04 08:10:00,200.0,203.0,0,0,19.4,43,847.3,0,0,
2023-04-04 02:00:00,2023-04-04 08:00:00,197.0,184.0,2,14.4,19.5,42,847.4,0,0,
