Municipio,Temperatura Med (°C),Humedad relativa Med (%),Precipitación (mm),Precipitación últimos 90 días (mm),Temperatura Max (°C),Fecha Tmax,Temperatura Min (°C),Fecha Tmin
Ensenada,12.16,70.84,3.0,314.2,17.4,2023-04-02 15:20:00,7.2,2023-04-04 05:00:00
San Quintín,11.68,79.24,0.0,62.2,17.3,2023-04-02 15:10:00,5.0,2023-04-04 07:30:00
Chapala,23.13,36.45,0.0,0.0,31.7,2023-04-03 17:10:00,18.1,2023-04-02 06:20:00
Ciudad Guzmán,21.18,55.05,0.0,0.0,34.8,2023-04-02 13:40:00,11.5,2023-04-02 06:50:00
Jocotepec,22.72,34.48,0.0,0.76,30.7,2023-04-03 11:20:00,15.1,2023-04-03 07:30:00
Tala,21.26,29.41,0.0,0.0,35.2,2023-04-02 16:10:00,12.3,2023-04-03 07:30:00
Tizapán el Alto,23.09,36.31,0.0,0.0,32.8,2023-04-02 16:40:00,16.0,2023-04-02 07:10:00
Zitácuaro,11.52,66.82,0.0,0.0,22.0,2023-04-02 15:30:00,5.4,2023-04-02 06:40:00
Angamacutiro,22.93,35.18,0.0,0.0,32.9,2023-04-02 16:10:00,15.1,2023-04-03 06:30:00
Uruapan,17.7,60.58,0.0,6.25,29.8,2023-04-02 16:10:00,8.4,2023-04-02 06:30:00
Zamora,23.74,37.23,0.0,0.4,35.2,2023-04-02 15:50:00,14.0,2023-04-02 07:40:00
